Jogador,ID_Jogador,Numero,Idade,Nacionalidade,No_plantel,Jogos,Gols,Assistencias,Cartoes_amarelos,Expulsoes_dois_amarelos,Expulsoes_vermelho_direto,Suplente_utilizado,Substituicoes,Pontos_por_jogo,Minutos_jogados,Identifier,Camp,Ano,Time
Jori,429799,-,25,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,América Mineiro
Airton,377799,12,27,,31,1,-,-,-,-,-,-,-,"0,00",90',BRA1_2022,BRA1,2022,América Mineiro
Robson,902033,-,20,,4,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,América Mineiro
Matheus Cavichioli,54274,1,34,,34,25,-,-,1,-,-,-,-,"1,52",2.250',BRA1_2022,BRA1,2022,América Mineiro
Jailson,112940,42,39,,12,12,-,-,1,-,-,-,-,"1,25",1.080',BRA1_2022,BRA1,2022,América Mineiro
Arthur,977464,25,18,,21,7,-,-,2,-,-,6,1,"1,43",174',BRA1_2022,BRA1,2022,América Mineiro
Iago Maidana,348261,3,25,,28,17,3,-,3,1,-,5,2,"1,76",1.032',BRA1_2022,BRA1,2022,América Mineiro
Gustavo Marques,977465,-,19,,9,1,-,-,-,-,-,1,-,"1,00",45',BRA1_2022,BRA1,2022,América Mineiro
Luan Patrick,658674,34,19,,34,10,-,-,3,-,-,1,3,"1,40",810',BRA1_2022,BRA1,2022,América Mineiro
Zé Vítor,879236,14,20,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,América Mineiro
Éder,375690,33,26,,33,33,-,2,6,-,-,-,1,"1,39",2.943',BRA1_2022,BRA1,2022,América Mineiro
Mateus Henrique,977471,-,18,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,América Mineiro
Marlon,443721,6,27,,30,29,-,1,5,-,1,3,12,"1,28",2.196',BRA1_2022,BRA1,2022,América Mineiro
Germán Conti,284321,4,27,,27,23,-,-,1,-,-,6,-,"1,30",1.648',BRA1_2022,BRA1,2022,América Mineiro
Ricardo Silva,206097,-,28,,19,11,-,-,2,-,-,3,1,"1,91",741',BRA1_2022,BRA1,2022,América Mineiro
Gabriel Gomes,969596,-,21,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,América Mineiro
Júlio,985345,-,17,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,América Mineiro
Raúl Cáceres,147410,27,29,,33,26,1,2,1,-,-,8,12,"1,73",1.625',BRA1_2022,BRA1,2022,América Mineiro
Vitor Hugo,722420,-,19,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,América Mineiro
Patric,95087,2,32,,36,30,-,-,6,-,-,12,5,"1,23",1.712',BRA1_2022,BRA1,2022,América Mineiro
João Paulo,167471,16,35,,13,6,-,-,-,-,-,2,2,"1,50",347',BRA1_2022,BRA1,2022,América Mineiro
Danilo Avelar,140748,22,32,,27,19,-,2,2,-,-,9,6,"1,11",868',BRA1_2022,BRA1,2022,América Mineiro
Carlos Junio,902121,-,20,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,América Mineiro
Rodolfo Moisés,977466,-,20,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,América Mineiro
Jurandir,985346,-,17,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,América Mineiro
Matheusinho,401533,7,23,,28,28,2,-,2,-,1,15,9,"1,46",1.371',BRA1_2022,BRA1,2022,América Mineiro
Emmanuel Martínez,360526,-,27,,4,4,-,-,1,-,-,1,3,"1,50",263',BRA1_2022,BRA1,2022,América Mineiro
Lucas Kal,435489,21,25,,33,28,-,-,3,-,-,2,9,"1,50",2.168',BRA1_2022,BRA1,2022,América Mineiro
Martín Benítez,189418,-,27,,16,15,1,3,2,-,-,8,6,"1,87",755',BRA1_2022,BRA1,2022,América Mineiro
Zé Ricardo,476336,5,25,,35,9,-,-,-,-,-,7,1,"1,56",227',BRA1_2022,BRA1,2022,América Mineiro
Gustavinho,800649,18,19,,23,10,-,-,2,-,-,4,6,"1,10",391',BRA1_2022,BRA1,2022,América Mineiro
Juan Pablo Ramírez,446850,10,23,,25,16,1,1,3,-,-,14,2,"1,31",389',BRA1_2022,BRA1,2022,América Mineiro
Alê,543614,30,31,,28,28,2,2,2,-,1,4,10,"1,32",1.936',BRA1_2022,BRA1,2022,América Mineiro
Juninho,271187,8,33,,35,35,5,6,6,-,-,-,4,"1,40",3.109',BRA1_2022,BRA1,2022,América Mineiro
Flávio,672618,39,21,,11,2,-,-,-,-,-,2,-,"0,00",24',BRA1_2022,BRA1,2022,América Mineiro
Lucas Gabriel,875555,-,19,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,América Mineiro
Juninho Valoura,101542,15,35,,21,1,-,-,-,-,-,1,-,"0,00",14',BRA1_2022,BRA1,2022,América Mineiro
Diogo Amaral,902122,-,19,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,América Mineiro
Kevyn,977717,20,19,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,América Mineiro
Gonzalo Mastriani,195882,-,28,,15,11,1,1,1,-,-,8,3,"1,27",466',BRA1_2022,BRA1,2022,América Mineiro
Yan Sasse,469136,-,24,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,América Mineiro
Carlos Alberto,727747,38,19,,16,6,-,-,1,-,-,6,-,"0,67",151',BRA1_2022,BRA1,2022,América Mineiro
Adyson,977467,-,15,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,América Mineiro
Renato Marques,985351,-,17,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,América Mineiro
Pedrinho,538978,29,21,,19,19,4,2,3,-,-,10,8,"1,47",967',BRA1_2022,BRA1,2022,América Mineiro
Everaldo,388397,37,27,,29,29,4,2,6,-,-,4,19,"1,34",1.908',BRA1_2022,BRA1,2022,América Mineiro
Paulinho Bóia,544895,47,23,,4,4,-,1,-,-,-,-,4,"1,50",290',BRA1_2022,BRA1,2022,América Mineiro
Rodolfo,374097,-,29,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,América Mineiro
Rodriguinho,977463,13,18,,10,4,-,-,2,-,-,2,2,"0,50",189',BRA1_2022,BRA1,2022,América Mineiro
Kawê,791721,31,19,,5,2,-,-,-,-,-,2,-,"0,50",29',BRA1_2022,BRA1,2022,América Mineiro
Henrique Almeida,103743,19,30,,35,28,6,-,8,-,-,7,20,"1,50",1.506',BRA1_2022,BRA1,2022,América Mineiro
Felipe Azevedo,75111,11,34,,37,36,4,2,1,1,-,6,25,"1,47",2.291',BRA1_2022,BRA1,2022,América Mineiro
Wellington Paulista,51716,9,38,,25,19,2,-,2,-,-,17,3,"1,47",504',BRA1_2022,BRA1,2022,América Mineiro
Léo Passos,528004,17,22,,-,Não esteve no plantel nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2022,BRA1,2022,América Mineiro
Aloísio,55246,99,33,,26,22,4,2,4,-,-,12,9,"1,09",945',BRA1_2022,BRA1,2022,América Mineiro
Washington Aguerre,273203,93,29,,13,2,-,-,1,-,-,-,-,"0,50",180',BRA1_2023,BRA1,2023,América Mineiro
Jori,429799,12,26,,14,11,-,-,1,-,-,-,-,"0,55",990',BRA1_2023,BRA1,2023,América Mineiro
Mateus Pasinato,349418,14,30,,24,10,-,-,1,-,-,-,-,"1,00",900',BRA1_2023,BRA1,2023,América Mineiro
Matheus Cavichioli,54274,1,35,,26,15,-,-,-,-,1,-,-,"0,47",1.349',BRA1_2023,BRA1,2023,América Mineiro
Robson,902033,24,21,,1,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,América Mineiro
Natan Sales,837712,73,19,,1,Não foi utilizado nesta temporada,-,-,-,-,-,-,-,0,-,BRA1_2023,BRA1,2023,América Mineiro
Arthur,977464,15,19,,1,1,-,-,-,-,-,-,-,"0,00",90',BRA1_2023,BRA1,2023,América Mineiro
Iago Maidana,348261,3,26,,31,30,-,-,5,-,1,6,2,"0,53",2.161',BRA1_2023,BRA1,2023,América Mineiro
Nicolas,442258,30,25,,21,11,1,1,1,-,-,3,6,"0,55",725',BRA1_2023,BRA1,2023,América Mineiro
Éder,375690,33,27,,34,24,-,-,5,1,-,7,3,"0,50",1.561',BRA1_2023,BRA1,2023,América Mineiro
Javier Méndez,285772,23,27,,19,7,-,-,2,-,-,5,2,"0,71",257',BRA1_2023,BRA1,2023,América Mineiro
Marlon,443721,6,28,,32,26,1,1,3,-,-,8,7,"0,54",1.672',BRA1_2023,BRA1,2023,América Mineiro
Mateus Henrique,977471,36,19,,24,12,-,1,1,-,1,5,6,"1,00",537',BRA1_2023,BRA1,2023,América Mineiro
Daniel Borges,276877,20,29,,19,14,-,1,1,-,1,6,4,"0,64",799',BRA1_2023,BRA1,2023,América Mineiro
Marcinho,432967,25,26,,19,12,-,-,4,-,-,2,6,"0,50",803',BRA1_2023,BRA1,2023,América Mineiro
