Nome Jogador,Valor Mercado,ID_Jogador,País de Origem,Posição,Numero_da_Camisa,Data_de_Nascimento,Altura,Pe,No_time_desde,Identifier,Camp,Ano,Time
Jori,300 mil €,429799,Brasil,            Goleiro,-,15/03/1996 (24),"1,90m",direito,01/01/2017,BRA1_2022,BRA1,2022,América Mineiro
Airton,250 mil €,377799,Brasil,            Goleiro,12,29/05/1994 (26),"1,88m",direito,16/04/2019,BRA1_2022,BRA1,2022,América Mineiro
Jailson,250 mil €,112940,Brasil,            Goleiro,42,20/07/1981 (39),"1,86m",direito,28/01/2022,BRA1_2022,BRA1,2022,América Mineiro
Matheus Cavichioli,200 mil €,54274,Brasil,            Goleiro,1,27/07/1986 (34),"1,92m",direito,10/08/2020,BRA1_2022,BRA1,2022,América Mineiro
Robson,-,902033,Brasil,            Goleiro,-,09/07/2000 (20),"1,87m",direito,,BRA1_2022,BRA1,2022,América Mineiro
Germán Conti,"2,50 mi. €",284321,Argentina,            Zagueiro,4,03/06/1994 (26),"1,93m",direito,06/01/2022,BRA1_2022,BRA1,2022,América Mineiro
Iago Maidana,900 mil €,348261,Brasil,            Zagueiro,3,06/02/1996 (24),"1,95m",direito,24/01/2022,BRA1_2022,BRA1,2022,América Mineiro
Éder,700 mil €,375690,Brasil,            Zagueiro,33,05/04/1995 (25),"1,84m",direito,24/01/2022,BRA1_2022,BRA1,2022,América Mineiro
Luan Patrick,250 mil €,658674,Brasil,            Zagueiro,34,20/01/2002 (18),"1,90m",direito,13/04/2022,BRA1_2022,BRA1,2022,América Mineiro
Ricardo Silva,100 mil €,206097,Brasil,            Zagueiro,-,13/08/1992 (28),"1,90m",direito,03/07/2022,BRA1_2022,BRA1,2022,América Mineiro
Gabriel Gomes,-,969596,Brasil,            Zagueiro,-,23/08/1999 (21),"1,86m",esquerdo,27/12/2021,BRA1_2022,BRA1,2022,América Mineiro
Gustavo Marques,-,977465,Brasil,            Zagueiro,-,09/10/2001 (19),"1,89m",direito,23/01/2022,BRA1_2022,BRA1,2022,América Mineiro
Rodolfo Moisés,-,977466,Brasil,            Zagueiro,-,15/03/2001 (19),"1,88m",direito,,BRA1_2022,BRA1,2022,América Mineiro
Júlio,-,985345,Brasil,            Zagueiro,-,28/09/2003 (17),"1,86m",direito,01/02/2023,BRA1_2022,BRA1,2022,América Mineiro
Zé Vítor,-,879236,Brasil,            Zagueiro,14,09/02/2001 (19),"1,89m",esquerdo,,BRA1_2022,BRA1,2022,América Mineiro
Danilo Avelar,"2,00 mi. €",140748,Brasil,            Lateral Esq.,22,09/06/1989 (31),"1,85m",esquerdo,01/01/2023,BRA1_2022,BRA1,2022,América Mineiro
João Paulo,475 mil €,167471,Brasil,            Lateral Esq.,16,01/07/1986 (34),"1,73m",esquerdo,01/01/2019,BRA1_2022,BRA1,2022,América Mineiro
Marlon,50 mil €,443721,Brasil,            Lateral Esq.,6,13/02/1994 (26),"1,77m",esquerdo,24/01/2022,BRA1_2022,BRA1,2022,América Mineiro
Vitor Hugo,-,722420,Brasil,            Lateral Esq.,-,02/10/2001 (19),"1,75m",esquerdo,01/01/2022,BRA1_2022,BRA1,2022,América Mineiro
Carlos Junio,-,902121,Brasil,            Lateral Esq.,-,27/03/2001 (19),"1,84m",esquerdo,,BRA1_2022,BRA1,2022,América Mineiro
Jurandir,-,985346,Brasil,            Lateral Esq.,-,19/02/2004 (16),-,esquerdo,,BRA1_2022,BRA1,2022,América Mineiro
Patric,850 mil €,95087,Brasil,            Lateral Dir.,2,25/03/1989 (31),"1,73m",direito,27/07/2021,BRA1_2022,BRA1,2022,América Mineiro
Raúl Cáceres,400 mil €,147410,Paraguai,            Lateral Dir.,27,18/09/1991 (29),"1,80m",direito,19/01/2022,BRA1_2022,BRA1,2022,América Mineiro
Mateus Henrique,-,977471,Brasil,            Lateral Dir.,-,02/10/2002 (18),"1,78m",direito,01/01/2023,BRA1_2022,BRA1,2022,América Mineiro
Arthur,-,977464,Brasil,            Lateral Dir.,25,17/03/2003 (17),"1,74m",direito,01/02/2023,BRA1_2022,BRA1,2022,América Mineiro
Juninho,650 mil €,271187,Brasil,            Volante,8,23/10/1987 (33),"1,73m",direito,06/02/2017,BRA1_2022,BRA1,2022,América Mineiro
Zé Ricardo,300 mil €,476336,Brasil,            Volante,5,09/03/1996 (24),"1,76m",direito,,BRA1_2022,BRA1,2022,América Mineiro
Lucas Kal,200 mil €,435489,Brasil,            Volante,21,16/03/1996 (24),"1,86m",direito,01/01/2022,BRA1_2022,BRA1,2022,América Mineiro
Kevyn,-,977717,Brasil,            Volante,20,02/03/2002 (18),"1,79m",direito,,BRA1_2022,BRA1,2022,América Mineiro
Alê,-,543614,Brasil,            Volante,30,06/06/1990 (30),"1,84m",direito,01/01/2020,BRA1_2022,BRA1,2022,América Mineiro
Flávio,-,672618,Brasil,            Volante,39,15/06/2000 (20),"1,80m",direito,01/07/2019,BRA1_2022,BRA1,2022,América Mineiro
Juninho Valoura,600 mil €,101542,Brasil,            Meia Central,15,20/03/1986 (34),"1,72m",direito,31/03/2021,BRA1_2022,BRA1,2022,América Mineiro
Martín Benítez,"3,50 mi. €",189418,Argentina,            Meia Ofensivo,-,17/06/1994 (26),"1,75m",direito,01/01/2023,BRA1_2022,BRA1,2022,América Mineiro
Emmanuel Martínez,"1,20 mi. €",360526,Argentina,            Meia Ofensivo,-,04/06/1994 (26),"1,69m",direito,13/08/2022,BRA1_2022,BRA1,2022,América Mineiro
Matheusinho,600 mil €,401533,Brasil,            Meia Ofensivo,7,11/02/1998 (22),"1,64m",direito,09/02/2022,BRA1_2022,BRA1,2022,América Mineiro
Juan Pablo Ramírez,550 mil €,446850,Colômbia,            Meia Ofensivo,10,26/11/1997 (23),"1,80m",esquerdo,24/01/2022,BRA1_2022,BRA1,2022,América Mineiro
Lucas Gabriel,-,875555,Brasil,            Meia Ofensivo,-,12/04/2002 (18),"1,70m",direito,,BRA1_2022,BRA1,2022,América Mineiro
Diogo Amaral,-,902122,Brasil,            Meia Ofensivo,-,29/01/2002 (18),"1,70m",esquerdo,,BRA1_2022,BRA1,2022,América Mineiro
Gustavinho,-,800649,Brasil,            Meia Ofensivo,18,29/10/2001 (19),"1,74m",esquerdo,01/01/2021,BRA1_2022,BRA1,2022,América Mineiro
Pedrinho,"1,80 mi. €",538978,Brasil,            Ponta Esquerda,29,10/11/1999 (21),"1,76m",direito,03/07/2023,BRA1_2022,BRA1,2022,América Mineiro
Paulinho,"1,00 mi. €",544895,Brasil,            Ponta Esquerda,47,26/06/1998 (22),"1,71m",direito,14/07/2023,BRA1_2022,BRA1,2022,América Mineiro
Everaldo,900 mil €,388397,Brasil,            Ponta Esquerda,37,28/05/1994 (26),"1,72m",direito,01/07/2023,BRA1_2022,BRA1,2022,América Mineiro
Felipe Azevedo,550 mil €,75111,Brasil,            Ponta Esquerda,11,10/01/1987 (33),"1,74m",esquerdo,01/01/2019,BRA1_2022,BRA1,2022,América Mineiro
Adyson,-,977467,Brasil,            Ponta Esquerda,-,22/09/2005 (15),"1,68m",esquerdo,01/01/2023,BRA1_2022,BRA1,2022,América Mineiro
Rodriguinho,-,977463,Brasil,            Ponta Esquerda,13,05/06/2003 (17),"1,70m",esquerdo,01/01/2023,BRA1_2022,BRA1,2022,América Mineiro
Yan Sasse,600 mil €,469136,Brasil,            Ponta Direita,-,24/06/1997 (23),"1,73m",esquerdo,30/03/2021,BRA1_2022,BRA1,2022,América Mineiro
Kawê,-,791721,Brasil,            Ponta Direita,31,22/06/2002 (18),"1,75m",direito,,BRA1_2022,BRA1,2022,América Mineiro
Carlos Alberto,-,727747,Brasil,            Ponta Direita,38,14/04/2002 (18),"1,81m",direito,01/03/2021,BRA1_2022,BRA1,2022,América Mineiro
Gonzalo Mastriani,"1,00 mi. €",195882,Uruguai,            Centroavante,-,28/04/1993 (27),"1,82m",esquerdo,10/08/2022,BRA1_2022,BRA1,2022,América Mineiro
Wellington Paulista,600 mil €,51716,Brasil,            Centroavante,9,22/04/1983 (37),"1,80m",direito,28/01/2022,BRA1_2022,BRA1,2022,América Mineiro
Henrique Almeida,600 mil €,103743,Brasil,            Centroavante,19,27/05/1991 (29),"1,77m",direito,19/01/2022,BRA1_2022,BRA1,2022,América Mineiro
Rodolfo,400 mil €,374097,Brasil,            Centroavante,-,21/05/1992 (28),"1,75m",direito,02/10/2020,BRA1_2022,BRA1,2022,América Mineiro
Aloísio,300 mil €,55246,China,            Centroavante,99,19/06/1988 (32),"1,70m",direito,31/03/2022,BRA1_2022,BRA1,2022,América Mineiro
Renato Marques,-,985351,Brasil,            Centroavante,-,09/12/2003 (17),"1,80m",direito,01/02/2023,BRA1_2022,BRA1,2022,América Mineiro
Marquinhos,-,985353,Brasil,            Atacante,-,27/02/2004 (16),-, ,,BRA1_2022,BRA1,2022,América Mineiro
Léo Passos,-,528004,Brasil,            Centroavante,17,13/03/1999 (21),"1,83m",direito,10/01/2020,BRA1_2022,BRA1,2022,América Mineiro
Washington Aguerre,"1,50 mi. €",273203,Uruguai,            Goleiro,93,23/04/1993 (28),"1,87m",direito,05/09/2023,BRA1_2023,BRA1,2023,América Mineiro
Mateus Pasinato,800 mil €,349418,Brasil,            Goleiro,14,28/06/1992 (29),"1,92m",direito,03/02/2023,BRA1_2023,BRA1,2023,América Mineiro
Jori,300 mil €,429799,Brasil,            Goleiro,12,15/03/1996 (25),"1,90m",direito,01/01/2017,BRA1_2023,BRA1,2023,América Mineiro
Matheus Cavichioli,200 mil €,54274,Brasil,            Goleiro,1,27/07/1986 (35),"1,92m",direito,10/08/2020,BRA1_2023,BRA1,2023,América Mineiro
Robson,-,902033,Brasil,            Goleiro,24,09/07/2000 (21),"1,87m",direito,,BRA1_2023,BRA1,2023,América Mineiro
Natan Sales,-,837712,Brasil,            Goleiro,73,26/02/2003 (18),"2,00m",direito,,BRA1_2023,BRA1,2023,América Mineiro
Esteban Burgos,"1,50 mi. €",337922,Argentina,            Zagueiro,26,09/01/1992 (29),"1,91m",direito,27/07/2023,BRA1_2023,BRA1,2023,América Mineiro
Éder,"1,00 mi. €",375690,Brasil,            Zagueiro,33,05/04/1995 (26),"1,84m",direito,24/01/2022,BRA1_2023,BRA1,2023,América Mineiro
Iago Maidana,700 mil €,348261,Brasil,            Zagueiro,3,06/02/1996 (25),"1,95m",direito,24/01/2022,BRA1_2023,BRA1,2023,América Mineiro
Wanderson,450 mil €,316067,Brasil,            Zagueiro,4,07/02/1991 (30),"1,86m",direito,01/01/2023,BRA1_2023,BRA1,2023,América Mineiro
Javier Méndez,350 mil €,285772,Uruguai,            Zagueiro,23,05/12/1994 (27),"1,84m",direito,25/07/2023,BRA1_2023,BRA1,2023,América Mineiro
Ricardo Silva,100 mil €,206097,Brasil,            Zagueiro,45,13/08/1992 (29),"1,90m",direito,03/07/2022,BRA1_2023,BRA1,2023,América Mineiro
Júlio,-,985345,Brasil,            Zagueiro,18,28/09/2003 (18),"1,86m",direito,01/02/2023,BRA1_2023,BRA1,2023,América Mineiro
Jhow,-,813119,Brasil,            Zagueiro,71,12/02/2003 (18),"1,80m",direito,,BRA1_2023,BRA1,2023,América Mineiro
Danilo Avelar,"1,20 mi. €",140748,Brasil,            Lateral Esq.,22,09/06/1989 (32),"1,85m",esquerdo,01/01/2023,BRA1_2023,BRA1,2023,América Mineiro
Nicolas,"1,00 mi. €",442258,Brasil,            Lateral Esq.,30,24/02/1997 (24),"1,81m",esquerdo,01/01/2023,BRA1_2023,BRA1,2023,América Mineiro
Marlon,400 mil €,443721,Brasil,            Lateral Esq.,6,13/02/1994 (27),"1,77m",esquerdo,24/01/2022,BRA1_2023,BRA1,2023,América Mineiro
Paulinho,-,1082692,Brasil,            Lateral Esq.,72,29/06/2004 (17),-,esquerdo,,BRA1_2023,BRA1,2023,América Mineiro
Marcinho,"1,70 mi. €",432967,Brasil,            Lateral Dir.,25,16/05/1996 (25),"1,80m",direito,10/04/2023,BRA1_2023,BRA1,2023,América Mineiro
Daniel Borges,475 mil €,276877,Brasil,            Lateral Dir.,20,23/03/1993 (28),"1,74m",direito,03/07/2023,BRA1_2023,BRA1,2023,América Mineiro
Nino Paraíba,400 mil €,72451,Brasil,            Lateral Dir.,2,10/01/1986 (35),"1,68m",direito,01/01/2023,BRA1_2023,BRA1,2023,América Mineiro
Arthur,-,977464,Brasil,            Lateral Dir.,15,17/03/2003 (18),"1,74m",direito,01/02/2023,BRA1_2023,BRA1,2023,América Mineiro
Mateus Henrique,-,977471,Brasil,            Lateral Dir.,36,02/10/2002 (19),"1,78m",direito,01/01/2023,BRA1_2023,BRA1,2023,América Mineiro
Samuel Alves,-,997863,Brasil,            Lateral Dir.,74,08/01/2004 (17),"1,76m",direito,,BRA1_2023,BRA1,2023,América Mineiro
Lucas Kal,"1,00 mi. €",435489,Brasil,            Volante,21,16/03/1996 (25),"1,86m",direito,01/01/2022,BRA1_2023,BRA1,2023,América Mineiro
Juninho,500 mil €,271187,Brasil,            Volante,8,23/10/1987 (34),"1,73m",direito,06/02/2017,BRA1_2023,BRA1,2023,América Mineiro
Alê,500 mil €,543614,Brasil,            Volante,16,06/06/1990 (31),"1,84m",direito,01/01/2020,BRA1_2023,BRA1,2023,América Mineiro
