identifier,camp,ano,Time,Status,Jogador,ID_Jogador,Destino,Quantia_Paga
BRA1_2023,BRA1,2023,Atlético Goianiense,Entrada,Alix,880217,Fortaleza B,650 mil €
BRA1_2023,BRA1,2023,Atlético Goianiense,Entrada,Derek,719251,Guarani,545 mil €
BRA1_2023,BRA1,2023,Atlético Goianiense,Entrada,João Maistro,694495,XV Piracicaba,75 mil €
BRA1_2023,BRA1,2023,Atlético Goianiense,Entrada,Breno Santos,1121622,Bonsucesso,custo zero
BRA1_2023,BRA1,2023,Atlético Goianiense,Entrada,Maguinho,350766,Goiás,custo zero
BRA1_2023,BRA1,2023,Atlético Goianiense,Entrada,Ángelo Araos,403148,Necaxa,custo zero
BRA1_2023,BRA1,2023,Atlético Goianiense,Entrada,Alejo Cruz,868491,Danubio FC,custo zero
BRA1_2023,BRA1,2023,Atlético Goianiense,Entrada,Thayllon,742120,São José-RS,custo zero
BRA1_2023,BRA1,2023,Atlético Goianiense,Entrada,Pedro Henrique,164015,LC Sailors,custo zero
BRA1_2023,BRA1,2023,Atlético Goianiense,Entrada,Vágner Love,18829,Sport,custo zero
BRA1_2023,BRA1,2023,Atlético Goianiense,Entrada,Lucas Kal,435489,América-MG,custo zero
BRA1_2023,BRA1,2023,Atlético Goianiense,Entrada,Luiz Gustavo,991846,Nação-SC,custo zero
BRA1_2023,BRA1,2023,Atlético Goianiense,Entrada,Emiliano Rodríguez,982198,Boston River,Empréstimo
BRA1_2023,BRA1,2023,Atlético Goianiense,Entrada,Adriano Martins,739272,Novorizontino,?
BRA1_2023,BRA1,2023,Atlético Goianiense,Entrada,Marcão,996242,Centro Oeste-GO,Empréstimo
BRA1_2023,BRA1,2023,Atlético Goianiense,Entrada,Max,1226150,Sampaio-RJ,Empréstimo
BRA1_2023,BRA1,2023,Atlético Goianiense,Entrada,Pedro Rangel,841263,Fluminense,Empréstimo
BRA1_2023,BRA1,2023,Atlético Goianiense,Entrada,Yony González,262474,Fluminense,Empréstimo
BRA1_2023,BRA1,2023,Atlético Goianiense,Entrada,Campanharo,103674,Internacional,Empréstimo
BRA1_2023,BRA1,2023,Atlético Goianiense,Entrada,Gabriel Barros,738507,Internacional,Empréstimo
BRA1_2023,BRA1,2023,Atlético Goianiense,Entrada,Emerson Junior,813038,Internacional,Empréstimo
BRA1_2023,BRA1,2023,Atlético Goianiense,Entrada,Danielzinho,418530,Fluminense,Empréstimo
BRA1_2023,BRA1,2023,Atlético Goianiense,Entrada,Yeferson Rodallega,848561,Envigado,Empréstimo
BRA1_2023,BRA1,2023,Atlético Goianiense,Entrada,Mateo Zuleta,1106875,Leones FC,Empréstimo
BRA1_2023,BRA1,2023,Atlético Goianiense,Entrada,Guilherme Romão,519879,CRB,Empréstimo
BRA1_2023,BRA1,2023,Atlético Goianiense,Entrada,Jefferson,435211,Juventude,Fim do empréstimo08/04/2024
BRA1_2023,BRA1,2023,Atlético Goianiense,Entrada,Roni,725049,Corinthians,Empréstimo
BRA1_2023,BRA1,2023,Atlético Goianiense,Entrada,Arthur Henrique,349737,São Bernardo,
BRA1_2023,BRA1,2023,Atlético Goianiense,Entrada,Ramon,312684,Ponte Preta,Fim do empréstimo31/12/2023
BRA1_2023,BRA1,2023,Atlético Goianiense,Entrada,Luis Phelipe,673830,Botafogo,Fim do empréstimo30/03/2023
BRA1_2023,BRA1,2023,Atlético Goianiense,Entrada,Luan Sales,692671,América-RN,Fim do empréstimo31/12/2023
BRA1_2023,BRA1,2023,Atlético Goianiense,Entrada,Jefferson,435211,Vasco da Gama,Fim do empréstimo31/12/2023
BRA1_2023,BRA1,2023,Atlético Goianiense,Entrada,Ramon Menezes,371025,CRB,Fim do empréstimo31/12/2023
BRA1_2023,BRA1,2023,Atlético Goianiense,Entrada,João Maistro,694495,Santo André,Fim do empréstimo02/04/2024
BRA1_2023,BRA1,2023,Atlético Goianiense,Saída,Kelvin,638722,Ulsan HD,282 mil €
BRA1_2023,BRA1,2023,Atlético Goianiense,Saída,Marcos Serrato,346067,Brusque,custo zero
BRA1_2023,BRA1,2023,Atlético Goianiense,Saída,Rodrigo Soares,388236,Novorizontino,custo zero
BRA1_2023,BRA1,2023,Atlético Goianiense,Saída,Ramon,312684,Ponte Preta,custo zero
BRA1_2023,BRA1,2023,Atlético Goianiense,Saída,Renato Alves,138446,Remo,custo zero
BRA1_2023,BRA1,2023,Atlético Goianiense,Saída,Arthur Henrique,349737,São Bernardo,custo zero
BRA1_2023,BRA1,2023,Atlético Goianiense,Saída,Breno Santos,1121622,Atlético-CE,custo zero
BRA1_2023,BRA1,2023,Atlético Goianiense,Saída,Jefferson,435211,Guarani,custo zero
BRA1_2023,BRA1,2023,Atlético Goianiense,Saída,Sillas,613904,Remo,?
BRA1_2023,BRA1,2023,Atlético Goianiense,Saída,Denivys,977858,Santa Clara,?
BRA1_2023,BRA1,2023,Atlético Goianiense,Saída,Dodô,281837,Ajman Club,?
BRA1_2023,BRA1,2023,Atlético Goianiense,Saída,Ramon Menezes,371025,Ceará,?
BRA1_2023,BRA1,2023,Atlético Goianiense,Saída,Léo,1042363,Goiânia,Empréstimo
BRA1_2023,BRA1,2023,Atlético Goianiense,Saída,Igor Ribeiro,1007084,Operário-PR,Empréstimo
BRA1_2023,BRA1,2023,Atlético Goianiense,Saída,João Maistro,694495,Londrina,Empréstimo
BRA1_2023,BRA1,2023,Atlético Goianiense,Saída,Heron,697401,CRB,Empréstimo
BRA1_2023,BRA1,2023,Atlético Goianiense,Saída,João Maistro,694495,Santo André,Empréstimo
BRA1_2023,BRA1,2023,Atlético Goianiense,Saída,Luan Sales,692671,Aparecidense,Empréstimo
BRA1_2023,BRA1,2023,Atlético Goianiense,Saída,Airton,696604,Guarani,Empréstimo
BRA1_2023,BRA1,2023,Atlético Goianiense,Saída,Thayllon,742120,Chapecoense,Empréstimo
BRA1_2023,BRA1,2023,Atlético Goianiense,Saída,Lucas Rocha,443864,Sem clube,-
BRA1_2023,BRA1,2023,Atlético Goianiense,Saída,Moraes,596586,Suspensão,
BRA1_2023,BRA1,2023,Atlético Goianiense,Saída,Gazal,863073,Mirassol,Empréstimo
BRA1_2023,BRA1,2023,Atlético Goianiense,Saída,Jefferson,435211,Juventude,Empréstimo
BRA1_2023,BRA1,2023,Atlético Goianiense,Saída,Daniel Lima,965614,Operário-PR,Empréstimo
BRA1_2023,BRA1,2023,Atlético Goianiense,Saída,Emerson,382171,Kashiwa Reysol,Fim do empréstimo31/12/2023
